lifetime,broken,unit_number,sensor10_max,sensor10_mean,sensor10_min,sensor10_std,sensor11_max,sensor11_mean,sensor11_min,sensor11_std,sensor12_max,sensor12_mean,sensor12_min,sensor12_std,sensor13_max,sensor13_mean,sensor13_min,sensor13_std,sensor14_max,sensor14_mean,sensor14_min,sensor14_std,sensor15_max,sensor15_mean,sensor15_min,sensor15_std,sensor16_max,sensor16_mean,sensor16_min,sensor16_std,sensor17_max,sensor17_mean,sensor17_min,sensor17_std,sensor18_max,sensor18_mean,sensor18_min,sensor18_std,sensor19_max,sensor19_mean,sensor19_min,sensor19_std,sensor1_max,sensor1_mean,sensor1_min,sensor1_std,sensor20_max,sensor20_mean,sensor20_min,sensor20_std,sensor21_max,sensor21_mean,sensor21_min,sensor21_std,sensor2_max,sensor2_mean,sensor2_min,sensor2_std,sensor3_max,sensor3_mean,sensor3_min,sensor3_std,sensor4_max,sensor4_mean,sensor4_min,sensor4_std,sensor5_max,sensor5_mean,sensor5_min,sensor5_std,sensor6_max,sensor6_mean,sensor6_min,sensor6_std,sensor7_max,sensor7_mean,sensor7_min,sensor7_std,sensor8_max,sensor8_mean,sensor8_min,sensor8_std,sensor9_max,sensor9_mean,sensor9_min,sensor9_std,fold
149,1,1,1.3,1.0900671140939597,0.94,0.12721813913402202,48.09,43.02503355704698,36.57,3.2626300583294707,521.83,259.8767785234899,129.49,141.68495100840693,2388.43,2334.7675838926175,2027.94,128.112539555737,8128.64,8047.956241610738,7857.51,81.280899508853,10.9764,9.356339597315436,8.3892,0.739326323996306,0.03,0.023489932885906038,0.02,0.004782594356544264,397.0,347.6442953020134,306.0,28.129304193290917,2388.0,2226.0805369127515,1915.0,145.0560244413751,100.0,97.77489932885905,84.93,5.364169114956282,518.67,471.63315436241606,445.0,27.183640153772533,39.04,20.28489932885906,10.36,10.169620539404235,23.3464,12.19033154362416,6.2285,6.07570852841947,643.73,578.2204026845637,536.25,38.08074197407673,1607.03,1417.8411409395972,1256.76,107.83043840522227,1429.43,1204.3132214765099,1040.99,121.09415984683748,14.62,7.8592617449664415,3.91,3.747488905913609,21.61,11.348389261744966,5.71,5.619952999119863,554.08,276.0636241610738,137.57,150.3105022549258,2388.31,2225.9511409395977,1915.02,145.05832603497063,9051.13,8494.444697986575,7993.23,337.5976689760314,1
269,1,2,1.3,1.0885130111524164,0.94,0.12523120713514663,48.2,42.92524163568773,36.51,3.236228058960506,522.59,261.4125278810409,129.76,135.77576204081888,2388.53,2332.020855018587,2028.29,130.83027477384792,8161.78,8069.911449814127,7875.7,84.77497882970404,11.04,9.367214126394051,8.4025,0.7554108379242594,0.03,0.023011152416356876,0.02,0.0045959775334390605,397.0,347.5539033457249,305.0,27.49779288303671,2388.0,2224.806691449814,1915.0,147.19780513191915,100.0,97.64706319702604,84.93,5.480337301665022,518.67,472.27263940520453,445.0,26.17490580932333,39.07,20.45342007434944,10.37,9.725914578015233,23.4306,12.273476579925651,6.1978,5.841725878048617,643.87,578.6878810408922,536.21,37.09271891642161,1602.29,1418.1788847583643,1253.86,104.92041880555797,1427.57,1203.1469888475835,1041.62,117.87592879077215,14.62,7.9269144981412625,3.91,3.5662581978464387,21.61,11.434832713754648,5.71,5.358413567532545,554.92,277.7134572490707,137.84,143.96082356913746,2388.22,2224.959739776952,1915.41,147.0414715751707,9092.23,8522.05594795539,8005.94,334.7789954842969,1
206,1,3,1.3,1.0880097087378637,0.94,0.1212633493899975,48.23,42.867864077669914,36.33,3.0692913778139093,522.54,258.68737864077667,129.72,129.5988601460049,2388.36,2339.176067961165,2028.18,123.61081269136513,8145.24,8064.401650485435,7868.28,79.87888236570613,11.0174,9.325500970873787,8.3688,0.7090247671886066,0.03,0.023058252427184466,0.02,0.0046187850640267945,397.0,347.41747572815535,304.0,26.43889384492684,2388.0,2229.78640776699,1915.0,138.96984410456662,100.0,97.9516504854369,84.93,5.177161685351157,518.67,471.4653883495145,445.0,25.401296483037637,39.11,20.269805825242717,10.41,9.316369959936376,23.4735,12.166150000000004,6.1991,5.582113164505129,644.04,578.2271359223301,536.12,35.64469860422883,1603.9,1415.8671844660196,1250.44,101.36257868606025,1425.68,1198.7450000000001,1035.67,113.005102819168,14.62,7.811941747572814,3.91,3.4241697753249083,21.61,11.286456310679613,5.71,5.1334441978293945,554.58,274.75349514563106,137.69,137.527375791566,2388.27,2229.822378640777,1915.32,138.8610626653792,9070.12,8511.947378640778,8007.77,318.426341349597,1
235,1,4,1.3,1.095063829787234,0.94,0.12689039018783962,48.25,43.090553191489356,36.51,3.201716038331209,522.51,266.60170212765956,129.98,140.32375646290123,2389.32,2339.250382978724,2028.23,123.58409902533572,8215.14,8081.127021276596,7870.69,83.28984783137167,11.0346,9.314482978723406,8.3926,0.7333235376732559,0.03,0.023063829787234043,0.02,0.0046197469836697785,397.0,348.92340425531916,305.0,27.88748925123215,2388.0,2233.021276595745,1915.0,141.8273733059883,100.0,97.94791489361702,84.93,5.179578274708959,518.67,472.8868510638298,445.0,27.033973645534726,39.13,20.804085106382978,10.4,10.06190787466254,23.4181,12.480000425531916,6.2183,6.033641155431867,644.38,580.1483829787234,536.08,37.75037553362382,1609.27,1422.4744680851063,1254.13,106.26895836509446,1428.21,1207.2019999999998,1043.12,120.26487041625795,14.62,8.021914893617021,3.91,3.7048972201033283,21.61,11.603361702127659,5.71,5.559464957752295,555.0,283.22259574468086,137.81,148.8405244123249,2388.17,2233.216595744681,1915.32,141.6160559652928,9150.14,8543.702723404254,8004.46,338.3567295324592,1
154,1,5,1.3,1.0890259740259738,0.94,0.12729344144916965,47.9,42.642272727272726,36.42,3.3035028987815145,522.19,259.2483116883117,130.05,130.2403739185287,2389.25,2325.16961038961,2028.3,137.23988792056238,8188.34,8072.489805194805,7871.31,91.42430341827801,11.0547,9.369848701298702,8.3771,0.7811697956937306,0.03,0.022987012987012983,0.02,0.004591818545564032,396.0,345.9025974025974,305.0,27.35646306891257,2388.0,2216.5324675324673,1915.0,151.50621414944547,100.0,97.35785714285716,84.93,5.74898160510175,518.67,471.514935064935,445.0,24.98047413289532,39.09,20.376363636363635,10.37,9.345656697564618,23.4725,12.22188766233766,6.1984,5.6040653118418655,643.29,576.9157142857142,536.21,36.043934952666895,1601.04,1410.9752597402598,1252.22,104.69189730991789,1423.44,1193.8611688311687,1034.2,116.90600692924741,14.62,7.898506493506493,3.91,3.383149474858982,21.61,11.366818181818182,5.71,5.097858925750771,554.51,275.3372077922078,137.92,138.12475009528396,2388.14,2216.743961038961,1915.37,151.30438135606303,9102.41,8511.127012987015,8006.91,333.95753356136765,1
175,1,6,1.3,1.095028571428571,0.94,0.12749971505811877,47.99,43.026114285714286,36.52,3.192294204128793,522.35,265.8135428571428,129.7,140.37530502118176,2388.31,2338.6691428571426,2027.99,124.12433471181987,8143.13,8062.216285714287,7869.31,80.56666440368674,10.9941,9.311329142857144,8.3784,0.7325008248450552,0.03,0.023257142857142858,0.02,0.004699858503267828,395.0,348.25714285714287,305.0,27.74467211682775,2388.0,2231.925714285714,1915.0,141.96381347010714,100.0,97.93325714285714,84.93,5.198926747901843,518.67,472.5681714285715,445.0,26.997840613399706,39.17,20.769485714285715,10.41,10.067672074434983,23.4814,12.455617142857143,6.2101,6.045642693922458,643.46,579.653657142857,536.4,37.58911939502264,1597.74,1420.1369142857145,1253.49,105.4101207635641,1424.95,1204.841542857143,1039.29,118.64708160777784,14.62,7.998057142857142,3.91,3.7012274598245924,21.61,11.566285714285714,5.71,5.553995292670101,554.35,282.336,137.51,148.92642906721642,2388.25,2231.901257142857,1915.17,141.8778061897459,9065.06,8520.062457142858,8005.09,334.54169884622195,1
174,1,7,1.3,1.0971839080459769,0.94,0.12511544068090727,48.19,42.9964367816092,36.42,3.2021078596036157,522.55,270.842643678161,129.88,131.47610434955806,2389.46,2334.3848275862065,2028.13,128.61571937442685,8211.87,8071.571494252873,7865.53,87.97418749816556,10.9626,9.321311494252873,8.395,0.741052986166593,0.03,0.02310344827586206,0.02,0.004639699219767408,397.0,349.132183908046,306.0,27.268940998503318,2388.0,2232.7586206896553,1915.0,146.1925221684437,100.0,97.74816091954023,84.93,5.388068498763318,518.67,474.59724137931033,445.0,25.260304790844664,39.07,21.169367816091956,10.39,9.420997158438432,23.4161,12.714590804597702,6.2521,5.6520011713818885,643.41,581.6179310344827,535.99,36.40560514354965,1606.03,1423.8282183908048,1251.66,104.39247256398036,1435.71,1208.5302873563219,1041.52,116.14720583148053,14.62,8.178965517241378,3.91,3.429119448974599,21.61,11.811436781609196,5.71,5.1674327772638735,554.36,287.6886206896552,138.14,139.4163244492624,2388.19,2232.8556896551727,1915.21,146.03552293060108,9146.07,8544.387011494253,7999.02,333.41375150517007,1
151,1,8,1.3,1.10158940397351,0.94,0.13049696147283427,48.11,43.04701986754967,36.5,3.2721979961899184,522.15,272.1950331125828,129.88,136.4329808165859,2388.38,2333.348278145695,2028.3,129.7047542267262,8149.71,8071.166622516557,7876.36,85.33315556403947,11.0393,9.31618476821192,8.4028,0.7660072849739177,0.03,0.023509933774834436,0.02,0.004788691609293536,397.0,349.21854304635764,305.0,27.779583399740442,2388.0,2230.2384105960264,1915.0,147.40812770939831,100.0,97.70456953642385,84.93,5.433104420752382,518.67,473.97920529801326,445.0,25.998588975126538,39.03,21.247814569536423,10.42,9.762299380374124,23.4252,12.740687417218542,6.2319,5.854581195477659,643.73,580.8827814569538,536.51,37.153775064524126,1604.53,1422.9003973509932,1252.69,106.87135132722767,1433.38,1209.1400662251658,1038.14,120.05372569810396,14.62,8.206092715231787,3.91,3.5538461744069023,21.61,11.854039735099338,5.71,5.357139806377772,554.36,289.13258278145696,138.02,144.70848471536874,2388.21,2230.348278145696,1915.35,147.26398084510953,9075.56,8539.356622516558,8009.53,337.5341625650899,1
199,1,9,1.3,1.0982412060301505,0.93,0.13271227368415078,48.19,43.08271356783919,36.6,3.448886904812728,522.23,272.9737185929649,129.82,145.17252520009052,2388.42,2328.2707537688443,2027.82,134.20571745989034,8133.3,8047.626281407034,7859.48,86.24747494615174,10.9859,9.353198994974877,8.4148,0.790481779126058,0.03,0.02366834170854271,0.02,0.004831562137727958,396.0,349.1859296482412,305.0,29.46459273887479,2388.0,2226.64824120603,1915.0,153.5170404269066,100.0,97.50095477386935,84.93,5.619078934638827,518.67,474.44055276381914,445.0,27.44879882187225,39.06,21.26291457286432,10.37,10.365299800160669,23.4499,12.764459296482414,6.1621,6.227588726770539,643.81,581.099095477387,536.34,39.2183050976615,1604.57,1423.1994974874376,1255.44,112.27642244981821,1432.54,1211.751457286432,1041.57,126.18761435478707,14.62,8.256180904522612,3.91,3.78670781126777,21.61,11.91251256281407,5.71,5.70982678703765,554.06,289.9250753768844,137.57,153.90950076301513,2388.3,2226.5701507537688,1915.0,153.5050615112515,9048.6,8515.028592964823,7992.71,351.8514745980158,1
184,1,10,1.3,1.0665217391304347,0.94,0.11681038563199089,48.24,42.400326086956525,36.6,3.4058778992604744,522.12,246.87989130434784,129.51,128.5289083597193,2388.34,2313.675,2027.85,146.06976243685978,8134.87,8037.5341847826085,7860.6,89.29957225427381,10.9982,9.493135869565219,8.379,0.7869550582680475,0.03,0.02239130434782608,0.02,0.004277163969584662,397.0,343.7717391304348,305.0,27.80203367993641,2388.0,2203.4945652173915,1915.0,159.15559274666464,100.0,96.88771739130436,84.93,6.1171203095447195,518.67,470.51934782608697,445.0,25.15601121240791,39.06,19.46108695652174,10.36,9.179706110576213,23.4207,11.676316304347825,6.203,5.510916371336428,644.15,574.6495108695652,535.79,36.75243500768917,1601.97,1402.7820652173914,1251.77,106.51280791696546,1428.39,1184.764456521739,1038.82,115.93357351286373,14.62,7.65375,3.91,3.3614772907908708,21.61,10.957826086956521,5.71,5.056423243094353,554.33,262.3395652173913,137.95,136.31042554142857,2388.35,2203.4748913043477,1915.03,159.07219822481724,9058.45,8457.833369565216,7999.93,335.4568075583172,1
